country_code,postal_code,latitude,longitude,region_id
PAK,15601,35.6833,74.175,Federal Capial &AJK::Sumayar||Askurdos||Murtizabad||Phikar
PAK,15650,35.4,73.8,Federal Capial &AJK::Nagar
PAK,15651,35.9667,74.55,Federal Capial &AJK::Hoper
PAK,15700,32.3306,73.2833,Federal Capial &AJK::Karimabad
PAK,15701,34.3563,73.2067,Federal Capial &AJK::Sarrat||Ahmad Abad||Altit
PAK,15800,34.3563,73.2067,Federal Capial &AJK::Sust
PAK,15801,34.3563,73.2067,Federal Capial &AJK::Kirmin
PAK,15900,36.7761,74.7656,Federal Capial &AJK::Misgar
PAK,16100,33.8076,74.1476,Federal Capial &AJK::Skardu Hsg
PAK,16101,33.4574,73.5571,Federal Capial &AJK::Hussainabad||Sirmik||Nar||Sundus||Gole||Strangdongmo||Kuwardu
PAK,16200,36.2333,73.1,Federal Capial &AJK::Skardu Airport
PAK,16201,36.2333,73.1,Federal Capial &AJK::Basho||Kachoora||Qumrah||Chundah||Tormik||Thowar||Stack
PAK,16300,35.4333,75.7333,Federal Capial &AJK::Shigar
PAK,16301,33.7229,74.4875,Federal Capial &AJK::Gulabpur||Dasu||Chatrooni||Wazirpur||Churka||Alchori||Tisser||Yunu
PAK,16400,32.1833,73.5,Federal Capial &AJK::Mehdiabad
PAK,16401,34.9667,76.2333,Federal Capial &AJK::Toltibroq||Kharmang||Pari||Mayurdu||Kamango||Murkun||Manthoka||Katisho
PAK,16450,35.0333,76.1,Federal Capial &AJK::Tolti
PAK,16500,34.2269,72.2058,Federal Capial &AJK::Baghicha
PAK,16501,34.2269,72.2058,Federal Capial &AJK::Tarkati||Fransat||Moral
PAK,16600,33.8076,74.1476,Federal Capial &AJK::Olding
PAK,16601,33.8076,74.1476,Federal Capial &AJK::Bilargo
PAK,16700,35.2333,75.95,Federal Capial &AJK::Kiris
PAK,16701,29.6632,70.8937,Federal Capial &AJK::Kuru||Thaley||Gone||Yogo||Ghowari
PAK,16800,34.7926,74.8271,Federal Capial &AJK::Khaplu(Lsg)
PAK,16801,34.7926,74.8271,Federal Capial &AJK::Hasanabad||Doghani||Barah Bala||Surmon||Siksa||Pion||Pharawa||Machloo||Ghursay
PAK,16900,33.8076,74.1476,Federal Capial &AJK::Thagus
PAK,16901,33.8076,74.1476,Federal Capial &AJK::Dumsum||Seeno
PAK,17010,36.4333,72.6667,NWFP Peshawar::Brep
PAK,17011,33.7901,72.3277,NWFP Peshawar::Lasht||Pawar||Barg||Dizk||Koach||Broghab||Birzoz||Marting||Meragram||Shust||Zapao
PAK,17020,36.2833,72.5167,NWFP Peshawar::Mastuj
PAK,17021,33.1683,70.6947,NWFP Peshawar::Chappari||Sarlaspur||Parkosap||Gosht||Kargeen||Khubbala||Chunch
PAK,17030,24.0944,67.4389,NWFP Peshawar::Harichin
PAK,17031,24.0944,67.4389,NWFP Peshawar::Ramon||Baleem
PAK,17050,36.0075,71.7578,NWFP Peshawar::Booni
PAK,17051,36.0075,71.7578,NWFP Peshawar::Awi||Booni Gool||Oveer (Charun)||Astaro||Sano Ghore||Verkop
PAK,17061,33.6624,71.8374,NWFP Peshawar::Mazgul||Zand Garam||Nishku||Sahrt||Trich Payan
PAK,17080,34.6333,73.1583,NWFP Peshawar::Shah Gram
PAK,17081,34.6333,73.1583,NWFP Peshawar::Mehr||Rain||Khot||Surwhoth||Ujnu||Rech||Shut Khar||Warkku
PAK,17100,36.2333,72.15,NWFP Peshawar::Kosht
PAK,17101,34.8181,72.2167,NWFP Peshawar::Murdar||Muzgule
PAK,17110,35.6647,72.1989,NWFP Peshawar::Reshun
PAK,17111,35.6647,72.1989,NWFP Peshawar::Loan||Baram Oveer||Zait||Dronga||Shangosh Lotoveer||Overbala
PAK,17120,35.9306,71.8781,NWFP Peshawar::Kaghuzi
PAK,17121,35.9306,71.8781,NWFP Peshawar::Rogh||Kuju||Golean
PAK,17130,35.995,71.5589,NWFP Peshawar::Garam Chashma
