country_code,postal_code,latitude,longitude,region_id,source
che,3536,7.7665,46.9089,BE::Eggiwil::Aeschau,cadastre
che,3537,7.7958,46.8744,BE::Eggiwil::3537,cadastre
che,3538,7.7454,46.8526,BE::Röthenbach im Emmental::3538,cadastre
che,3543,7.7476,46.948,BE::Lauperswil::Emmenmatt,cadastre
che,3550,7.7851,46.9419,BE::Langnau im Emmental::3550,cadastre
che,3551,7.8,46.9777,BE::Langnau im Emmental::Oberfrittenbach,cadastre
che,3552,7.8111,46.933,BE::Langnau im Emmental::Bärau,cadastre
che,3553,7.8083,46.956,BE::Langnau im Emmental::Gohl,cadastre
che,3555,7.8457,46.9229,BE::Trubschachen::3555,cadastre
che,3556,7.8774,46.9431,BE::Trub::3556,cadastre
che,3557,7.9086,46.9673,BE::Trub::Fankhaus (Trub),cadastre
che,3600,7.6237,46.7555,BE::Thun::3600,cadastre
che,3602,46.7466,7.6222,Canton de Berne::Thun District::Thun,geonames
che,3603,7.6001,46.762,BE::Thun::3603,cadastre
che,3604,7.6174,46.7405,BE::Thun::3604,cadastre
che,3607,46.7466,7.6222,Canton de Berne::Thun District::Thun,geonames
che,3608,7.5988,46.7399,BE::Thun::3608,cadastre
che,3609,46.7466,7.6222,Canton de Berne::Thun District::Thun,geonames
che,3612,7.6383,46.7827,BE::Steffisburg::3612,cadastre
che,3613,7.6145,46.771,BE::Steffisburg::3613,cadastre
che,3614,7.6928,46.7981,BE::Unterlangenegg::3614,cadastre
che,3615,7.6955,46.827,BE::Buchholterberg::Heimenschwand,cadastre
che,3616,7.7148,46.7968,BE::Unterlangenegg::Schwarzenegg,cadastre
che,3617,7.6583,46.7981,BE::Fahrni::Fahrni b. Thun,cadastre
che,3618,7.7564,46.818,BE::Wachseldorn::Süderen,cadastre
che,3619,7.7775,46.7883,BE::Eriz::3619,cadastre
che,3622,7.6838,46.7769,BE::Homberg::Homberg b. Thun,cadastre
che,3623,7.7242,46.7757,BE::Teuffenthal (BE);Horrenbach-Buchen::Horrenbach||Buchen BE||Teuffenthal b. Thun,cadastre
che,3624,7.6636,46.7659,BE::Steffisburg;Thun::Schwendibach||Goldiwil (Thun),cadastre
che,3625,7.6793,46.7514,BE::Heiligenschwendi::3625,cadastre
che,3626,7.6513,46.7452,BE::Hilterfingen::Hünibach,cadastre
che,3627,7.6016,46.7896,BE::Heimberg::3627,cadastre
che,3628,7.5744,46.7931,BE::Uttigen::3628,cadastre
che,3629,7.5796,46.8192,BE::Kiesen||Oppligen||Jaberg,cadastre
che,3631,7.5637,46.7232,BE::Stocken-Höfen::Höfen b. Thun,cadastre
che,3632,7.5637,46.7132,BE::Stocken-Höfen::Niederstocken||Oberstocken,cadastre
che,3633,7.5792,46.7271,BE::Amsoldingen::3633,cadastre
che,3634,7.5763,46.7515,BE::Thierachern::3634,cadastre
che,3635,7.5515,46.7397,BE::Uebeschi::3635,cadastre
che,3636,7.5257,46.7597,BE::Forst-Längenbühl::Längenbühl||Forst b. Längenbühl,cadastre
che,3638,7.5278,46.7332,BE::Blumenstein||Pohlern,cadastre
che,3645,7.6219,46.7142,BE::Spiez;Zwieselberg::Gwatt (Thun)||Zwieselberg,cadastre
che,3646,7.646,46.7094,BE::Spiez::Einigen,cadastre
che,3647,7.6195,46.6932,BE::Reutigen::3647,cadastre
che,3652,7.6623,46.7407,BE::Hilterfingen::3652,cadastre
che,3653,7.6685,46.7312,BE::Oberhofen am Thunersee::3653,cadastre
che,3654,7.7015,46.7128,BE::Sigriswil::Gunten,cadastre
che,3655,7.7201,46.7178,BE::Sigriswil::3655,cadastre
che,3656,7.7007,46.7257,BE::Sigriswil::Tschingel ob Gunten||Aeschlen ob Gunten||Ringoldswil,cadastre
che,3657,7.7163,46.7356,BE::Sigriswil::Schwanden (Sigriswil),cadastre
